customer_state,product_category_name_en,number_sells,number_customers,sell_percentage_%,ratio_customer_buy
RN,luggage accessories,1,1,0.0,1.0
DF,music,1,1,0.0,1.0
PR,home comfort 2,1,1,0.0,1.0
DF,furniture bedroom,1,1,0.0,1.0
PI,fashion underwear beach,1,1,0.0,1.0
PI,fashion shoes,1,1,0.0,1.0
PI,dvds blu ray,1,1,0.0,1.0
PI,drinks,1,1,0.0,1.0
RS,furniture bedroom,1,1,0.0,1.0
RS,fashion sport,1,1,0.0,1.0
MA,fixed telephony,1,1,0.0,1.0
MA,fashion sport,1,1,0.0,1.0
MA,fashion shoes,1,1,0.0,1.0
MA,fashion male clothing,1,1,0.0,1.0
MA,construction tools lights,1,1,0.0,1.0
MA,construction tools construction,1,1,0.0,1.0
DF,furniture mattress and upholstery,1,1,0.0,1.0
PE,small appliances home oven and coffee,1,1,0.0,1.0
PE,pc gamer,1,1,0.0,1.0
SC,arts and craftmanship,1,1,0.0,1.0
RS,tablets printing image,1,1,0.0,1.0
RS,pc gamer,1,1,0.0,1.0
RS,music,1,1,0.0,1.0
RR,office furniture,1,1,0.0,1.0
CE,kitchen dining laundry garden furniture,1,1,0.0,1.0
GO,music,1,1,0.0,1.0
GO,la cuisine,1,1,0.0,1.0
PI,party supplies,1,1,0.0,1.0
MS,audio,1,1,0.0,1.0
MS,art,1,1,0.0,1.0
MG,pc gamer,1,1,0.0,1.0
BA,books imported,1,1,0.0,1.0
PR,fashion sport,1,1,0.0,1.0
RS,kitchenware and food preparers,1,1,0.0,1.0
RS,home comfort 2,1,1,0.0,1.0
PI,home appliances 2,1,1,0.0,1.0
PI,food drink,1,1,0.0,1.0
PI,food,1,1,0.0,1.0
ES,art,1,1,0.0,1.0
DF,small appliances home oven and coffee,1,1,0.0,1.0
DF,security and services,1,1,0.0,1.0
DF,party supplies,1,1,0.0,1.0
SC,books imported,1,1,0.0,1.0
RJ,fashion childrens clothes,1,1,0.0,1.0
RJ,fashio female clothing,1,1,0.0,1.0
RJ,kitchenware and food preparers,1,1,0.0,1.0
DF,fashion sport,1,1,0.0,1.0
DF,fashio female clothing,1,1,0.0,1.0
DF,cine photo,1,1,0.0,1.0
DF,arts and craftmanship,1,1,0.0,1.0
RR,watches gifts,1,1,0.0,1.0
RR,stationery,1,1,0.0,1.0
RR,perfumery,1,1,0.0,1.0
PI,construction tools lights,1,1,0.0,1.0
PI,books general interest,1,1,0.0,1.0
GO,furniture mattress and upholstery,1,1,0.0,1.0
ES,cine photo,1,1,0.0,1.0
PE,cine photo,1,1,0.0,1.0
PE,art,1,1,0.0,1.0
PE,air conditioning,1,1,0.0,1.0
SC,fashion childrens clothes,1,1,0.0,1.0
RR,baby,1,1,0.0,1.0
RR,auto,1,1,0.0,1.0
RO,small appliances home oven and coffee,1,1,0.0,1.0
RO,small appliances,1,1,0.0,1.0
RO,security and services,1,1,0.0,1.0
CE,fashion male clothing,1,1,0.0,1.0
CE,tablets printing image,1,1,0.0,1.0
CE,music,1,1,0.0,1.0
BA,fashion childrens clothes,1,1,0.0,1.0
BA,fashio female clothing,1,1,0.0,1.0
SC,fashio female clothing,1,1,0.0,1.0
PE,costruction tools tools,1,1,0.0,1.0
AP,agro industry and commerce,1,1,0.0,1.0
AM,tablets printing image,1,1,0.0,1.0
GO,furniture bedroom,1,1,0.0,1.0
GO,flowers,1,1,0.0,1.0
PB,kitchen dining laundry garden furniture,1,1,0.0,1.0
PB,home confort,1,1,0.0,1.0
MA,tablets printing image,1,1,0.0,1.0
MA,industry commerce and business,1,1,0.0,1.0
MS,computers,1,1,0.0,1.0
ES,fashion underwear beach,1,1,0.0,1.0
ES,fashio female clothing,1,1,0.0,1.0
PB,diapers and hygiene,1,1,0.0,1.0
PB,costruction tools tools,1,1,0.0,1.0
PB,costruction tools garden,1,1,0.0,1.0
PB,construction tools construction,1,1,0.0,1.0
PB,audio,1,1,0.0,1.0
PB,art,1,1,0.0,1.0
PB,air conditioning,1,1,0.0,1.0
PB,agro industry and commerce,1,1,0.0,1.0
AP,consoles games,1,1,0.0,1.0
AP,computers,1,1,0.0,1.0
PA,drinks,1,1,0.0,1.0
PA,costruction tools tools,1,1,0.0,1.0
PA,costruction tools garden,1,1,0.0,1.0
PA,construction tools lights,1,1,0.0,1.0
SE,food drink,1,1,0.0,1.0
SE,food,1,1,0.0,1.0
SE,construction tools safety,1,1,0.0,1.0
RO,industry commerce and business,1,1,0.0,1.0
RO,home confort,1,1,0.0,1.0
RO,furniture living room,1,1,0.0,1.0
RO,food,1,1,0.0,1.0
RO,fashion shoes,1,1,0.0,1.0
RO,dvds blu ray,1,1,0.0,1.0
CE,diapers and hygiene,1,1,0.0,1.0
CE,costruction tools tools,1,1,0.0,1.0
CE,construction tools lights,1,1,0.0,1.0
RN,christmas supplies,1,1,0.0,1.0
RN,books technical,1,1,0.0,1.0
RN,audio,1,1,0.0,1.0
RN,art,1,1,0.0,1.0
BA,kitchenware and food preparers,1,1,0.0,1.0
BA,home comfort 2,1,1,0.0,1.0
SE,construction tools lights,1,1,0.0,1.0
SE,construction tools construction,1,1,0.0,1.0
SE,computers,1,1,0.0,1.0
SE,books imported,1,1,0.0,1.0
SE,books general interest,1,1,0.0,1.0
ES,furniture bedroom,1,1,0.0,1.0
ES,kitchen dining laundry garden furniture,1,1,0.0,1.0
ES,home comfort 2,1,1,0.0,1.0
SE,home confort,1,1,0.0,1.0
SE,home appliances 2,1,1,0.0,1.0
SE,home appliances,1,1,0.0,1.0
PA,kitchenware and food preparers,1,1,0.0,1.0
PA,kitchen dining laundry garden furniture,1,1,0.0,1.0
PA,furniture living room,1,1,0.0,1.0
PA,food drink,1,1,0.0,1.0
PA,fixed telephony,1,1,0.0,1.0
PA,audio,1,1,0.0,1.0
MT,small appliances home oven and coffee,1,1,0.0,1.0
AM,musical instruments,1,1,0.0,1.0
AM,music,1,1,0.0,1.0
AM,market place,1,1,0.0,1.0
AM,home appliances 2,1,1,0.0,1.0
MA,cine photo,1,1,0.0,1.0
MA,christmas supplies,1,1,0.0,1.0
MA,cds dvds musicals,1,1,0.0,1.0
MA,books imported,1,1,0.0,1.0
MA,air conditioning,1,1,0.0,1.0
RO,consoles games,1,1,0.0,1.0
RO,musical instruments,1,1,0.0,1.0
RO,market place,1,1,0.0,1.0
GO,tablets printing image,1,1,0.0,1.0
MG,diapers and hygiene,1,1,0.0,1.0
RN,furniture mattress and upholstery,1,1,0.0,1.0
RN,fashion shoes,1,1,0.0,1.0
RN,dvds blu ray,1,1,0.0,1.0
RN,construction tools safety,1,1,0.0,1.0
AM,food,1,1,0.0,1.0
AM,fixed telephony,1,1,0.0,1.0
AM,fashion bags accessories,1,1,0.0,1.0
AM,drinks,1,1,0.0,1.0
MT,art,1,1,0.0,1.0
GO,dvds blu ray,1,1,0.0,1.0
AM,computers,1,1,0.0,1.0
AM,books general interest,1,1,0.0,1.0
AM,audio,1,1,0.0,1.0
AM,art,1,1,0.0,1.0
AM,air conditioning,1,1,0.0,1.0
MT,fashion male clothing,1,1,0.0,1.0
MT,fashio female clothing,1,1,0.0,1.0
GO,cine photo,1,1,0.0,1.0
MS,small appliances home oven and coffee,1,1,0.0,1.0
MS,signaling and security,1,1,0.0,1.0
AL,musical instruments,1,1,0.0,1.0
AL,industry commerce and business,1,1,0.0,1.0
TO,industry commerce and business,1,1,0.0,1.0
AL,food drink,1,1,0.0,1.0
AL,food,1,1,0.0,1.0
AL,dvds blu ray,1,1,0.0,1.0
AL,drinks,1,1,0.0,1.0
AL,construction tools construction,1,1,0.0,1.0
RO,construction tools safety,1,1,0.0,1.0
RN,industry commerce and business,1,1,0.0,1.0
RN,home construction,1,1,0.0,1.0
RN,home confort,1,1,0.0,1.0
AL,home confort,1,1,0.0,1.0
MT,drinks,1,1,0.0,1.0
MT,costruction tools tools,1,1,0.0,1.0
MT,cine photo,1,1,0.0,1.0
MT,christmas supplies,1,1,0.0,1.0
AC,christmas supplies,1,1,0.0,1.0
TO,home appliances,1,1,0.0,1.0
AC,computers,1,1,0.0,1.0
TO,small appliances home oven and coffee,1,1,0.0,1.0
TO,musical instruments,1,1,0.0,1.0
TO,market place,1,1,0.0,1.0
MS,costruction tools tools,1,1,0.0,1.0
TO,fashion shoes,1,1,0.0,1.0
AC,small appliances,1,1,0.0,1.0
AC,musical instruments,1,1,0.0,1.0
AC,market place,1,1,0.0,1.0
AC,consoles games,1,1,0.0,1.0
TO,books general interest,1,1,0.0,1.0
TO,audio,1,1,0.0,1.0
