customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
santana,AP,1,12.5,1 days 12:58:53,Retraso leve: problemas típicos de última hora o reparto urbano,1.5408912037037037
santaluz,BA,1,12.5,104 days 21:18:52,Retrasos severos: rutas largas o problemas logísticos regionales,104.88810185185186
santa vitoria,MG,1,12.5,4 days 17:20:47,Retraso moderado: problemas recurrentes pero no críticos,4.722766203703704
santa terezinha,SC,1,12.5,19 days 15:38:59,Retrasos severos: rutas largas o problemas logísticos regionales,19.652071759259258
santa rosa do sul,SC,1,12.5,8 days 21:56:58,Retraso moderado: problemas recurrentes pero no críticos,8.914560185185184
sao clemente,PR,1,12.5,0 days 11:28:30,Retraso leve: problemas típicos de última hora o reparto urbano,0.478125
sao carlos,SC,1,12.5,7 days 04:06:23.250000,Retraso moderado: problemas recurrentes pero no críticos,7.171102430555556
sao carlos,SC,1,12.5,4 days 16:24:55,Retraso moderado: problemas recurrentes pero no críticos,4.683969907407407
sao borja,RS,1,12.5,28 days 19:04:39,Retrasos severos: rutas largas o problemas logísticos regionales,28.79489583333333
sao bento,MA,1,12.5,14 days 17:19:04,Retrasos severos: rutas largas o problemas logísticos regionales,14.721574074074073
santos dumont,MG,1,12.5,1 days 13:28:02,Retraso leve: problemas típicos de última hora o reparto urbano,1.5611342592592592
santo cristo,RS,1,12.5,6 days 20:57:53,Retraso moderado: problemas recurrentes pero no críticos,6.873530092592593
santo augusto,RS,1,12.5,14 days 22:09:39,Retrasos severos: rutas largas o problemas logísticos regionales,14.923368055555555
santo antonio do jacinto,MG,1,12.5,4 days 04:38:39,Retraso moderado: problemas recurrentes pero no críticos,4.193506944444445
santo antonio do descoberto,GO,1,12.5,5 days 20:46:47,Retraso moderado: problemas recurrentes pero no críticos,5.865821759259259
santo antonio do canaa,ES,1,12.5,2 days 00:28:50,Retraso leve: problemas típicos de última hora o reparto urbano,2.020023148148148
santo antonio de jesus,BA,1,12.5,0 days 14:22:37,Retraso leve: problemas típicos de última hora o reparto urbano,0.5990393518518519
santo amaro de campos,RJ,1,12.5,7 days 00:18:47,Retraso moderado: problemas recurrentes pero no críticos,7.013043981481482
santiago,RS,1,12.5,3 days 14:26:38,Retraso moderado: problemas recurrentes pero no críticos,3.6018287037037036
santana do paraiso,MG,1,12.5,1 days 18:39:34,Retraso leve: problemas típicos de última hora o reparto urbano,1.7774768518518518
santana do jacare,MG,1,12.5,15 days 18:54:16,Retrasos severos: rutas largas o problemas logísticos regionales,15.787685185185186
santana da vargem,MG,1,12.5,2 days 19:48:24,Retraso leve: problemas típicos de última hora o reparto urbano,2.825277777777778
sao joao do paraiso,MA,1,12.5,11 days 11:59:00,Retrasos severos: rutas largas o problemas logísticos regionales,11.499305555555555
sao joao de iracema,SP,1,12.5,1 days 20:13:00,Retraso leve: problemas típicos de última hora o reparto urbano,1.8423611111111111
sao joao da mata,MG,1,12.5,0 days 11:05:21,Retraso leve: problemas típicos de última hora o reparto urbano,0.4620486111111111
sao joao da barra,RJ,1,12.5,14 days 21:32:43,Retrasos severos: rutas largas o problemas logísticos regionales,14.897719907407408
sao joao d'alianca,GO,1,12.5,9 days 16:08:40,Retraso moderado: problemas recurrentes pero no críticos,9.672685185185186
sao joao batista,SC,1,12.5,8 days 21:19:02,Retraso moderado: problemas recurrentes pero no críticos,8.888217592592593
sao joao batista,SC,1,12.5,6 days 20:38:35,Retraso moderado: problemas recurrentes pero no críticos,6.8601273148148145
sao joao batista,MA,1,12.5,8 days 21:19:02,Retraso moderado: problemas recurrentes pero no críticos,8.888217592592593
sao joao batista,MA,1,12.5,6 days 20:38:35,Retraso moderado: problemas recurrentes pero no críticos,6.8601273148148145
sao joao,PR,1,12.5,2 days 04:47:36,Retraso leve: problemas típicos de última hora o reparto urbano,2.1997222222222224
sao goncalo do para,MG,1,12.5,2 days 20:39:46,Retraso leve: problemas típicos de última hora o reparto urbano,2.860949074074074
sao goncalo do amarante,RN,1,12.5,5 days 15:48:46,Retraso moderado: problemas recurrentes pero no críticos,5.65886574074074
sao goncalo do amarante,RN,1,12.5,3 days 17:09:52,Retraso moderado: problemas recurrentes pero no críticos,3.7151851851851854
sao goncalo do amarante,CE,1,12.5,5 days 15:48:46,Retraso moderado: problemas recurrentes pero no críticos,5.65886574074074
sao goncalo do amarante,CE,1,12.5,3 days 17:09:52,Retraso moderado: problemas recurrentes pero no críticos,3.7151851851851854
sao francisco de itabapoana,RJ,1,12.5,15 days 21:06:03,Retrasos severos: rutas largas o problemas logísticos regionales,15.87920138888889
sao francisco de assis,RS,1,12.5,23 days 12:46:38,Retrasos severos: rutas largas o problemas logísticos regionales,23.53238425925926
sao felix,BA,1,12.5,3 days 19:20:49,Retraso moderado: problemas recurrentes pero no críticos,3.8061226851851853
sao felipe,BA,1,12.5,12 days 16:36:47,Retrasos severos: rutas largas o problemas logísticos regionales,12.692210648148148
sao domingos do norte,ES,1,12.5,38 days 11:46:32,Retrasos severos: rutas largas o problemas logísticos regionales,38.490648148148146
astolfo dutra,MG,1,12.5,3 days 19:11:12,Retraso moderado: problemas recurrentes pero no críticos,3.7994444444444446
assuncao,PB,1,12.5,17 days 15:54:32,Retrasos severos: rutas largas o problemas logísticos regionales,17.66287037037037
assis chateaubriand,PR,1,12.5,2 days 16:50:59,Retraso leve: problemas típicos de última hora o reparto urbano,2.702071759259259
assis,SP,1,12.5,20 days 09:48:08,Retrasos severos: rutas largas o problemas logísticos regionales,20.408425925925926
assai,PR,1,12.5,9 days 11:11:50,Retraso moderado: problemas recurrentes pero no críticos,9.466550925925926
ascurra,SC,1,12.5,18 days 21:58:51,Retrasos severos: rutas largas o problemas logísticos regionales,18.915868055555556
aruja,SP,1,12.5,0 days 22:29:40,Retraso leve: problemas típicos de última hora o reparto urbano,0.9372685185185186
arroio grande,RS,1,12.5,2 days 22:46:40,Retraso leve: problemas típicos de última hora o reparto urbano,2.949074074074074
arraial d'ajuda,BA,1,12.5,2 days 00:06:28,Retraso leve: problemas típicos de última hora o reparto urbano,2.004490740740741
sao jose do cedro,SC,1,12.5,5 days 16:36:50,Retraso moderado: problemas recurrentes pero no críticos,5.692245370370371
sao jose do belmonte,PE,1,12.5,0 days 01:32:07,Retraso leve: problemas típicos de última hora o reparto urbano,0.0639699074074074
sao jose da laje,AL,1,12.5,0 days 14:37:03,Retraso leve: problemas típicos de última hora o reparto urbano,0.6090625
sao jose da coroa grande,PE,1,12.5,1 days 22:44:47,Retraso leve: problemas típicos de última hora o reparto urbano,1.9477662037037038
sao joaquim de bicas,MG,1,14.29,2 days 15:32:51,Retraso leve: problemas típicos de última hora o reparto urbano,2.6478125
sao joao nepomuceno,MG,1,14.29,0 days 23:32:35,Retraso leve: problemas típicos de última hora o reparto urbano,0.9809606481481481
sao joao dos patos,MA,1,14.29,16 days 22:58:47,Retrasos severos: rutas largas o problemas logísticos regionales,16.957488425925927
glaura,MG,1,14.29,37 days 11:20:59,Retrasos severos: rutas largas o problemas logísticos regionales,37.47290509259259
girua,RS,1,14.29,7 days 01:58:44,Retraso moderado: problemas recurrentes pero no críticos,7.082453703703703
gilbues,PI,1,14.29,4 days 19:29:59,Retraso moderado: problemas recurrentes pero no críticos,4.812488425925926
getulio vargas,RS,1,14.29,0 days 16:27:20,Retraso leve: problemas típicos de última hora o reparto urbano,0.6856481481481481
general salgado,SP,1,14.29,0 days 19:48:24,Retraso leve: problemas típicos de última hora o reparto urbano,0.8252777777777778
general carneiro,PR,1,14.29,3 days 19:58:59,Retraso moderado: problemas recurrentes pero no críticos,3.8326273148148147
gaspar,SC,1,14.29,33 days 22:21:42,Retrasos severos: rutas largas o problemas logísticos regionales,33.931736111111114
garopaba,SC,1,14.29,2 days 18:58:38,Retraso leve: problemas típicos de última hora o reparto urbano,2.7907175925925927
garanhuns,PE,1,14.29,0 days 14:57:03,Retraso leve: problemas típicos de última hora o reparto urbano,0.6229513888888889
gameleira,PE,1,14.29,41 days 02:24:33,Retrasos severos: rutas largas o problemas logísticos regionales,41.10038194444444
fronteira,MG,1,14.29,0 days 11:19:08,Retraso leve: problemas típicos de última hora o reparto urbano,0.47162037037037036
frederico westphalen,RS,1,14.29,9 days 16:42:30,Retraso moderado: problemas recurrentes pero no críticos,9.696180555555555
frecheirinha,CE,1,14.29,9 days 23:34:42,Retraso moderado: problemas recurrentes pero no críticos,9.982430555555556
franco da rocha,SP,1,14.29,3 days 21:32:46,Retraso moderado: problemas recurrentes pero no críticos,3.8977546296296297
francisco beltrao,PR,1,14.29,6 days 16:12:29,Retraso moderado: problemas recurrentes pero no críticos,6.675335648148148
atilio vivacqua,ES,1,14.29,1 days 11:58:58,Retraso leve: problemas típicos de última hora o reparto urbano,1.4992824074074074
corrego fundo,MG,1,14.29,1 days 19:32:52,Retraso leve: problemas típicos de última hora o reparto urbano,1.8144907407407407
coronel vivida,PR,1,14.29,0 days 20:03:38,Retraso leve: problemas típicos de última hora o reparto urbano,0.8358564814814815
coroata,MA,1,14.29,1 days 14:26:41,Retraso leve: problemas típicos de última hora o reparto urbano,1.601863425925926
coremas,PB,1,14.29,0 days 16:42:23,Retraso leve: problemas típicos de última hora o reparto urbano,0.6960995370370371
cordeiro,RJ,1,14.29,4 days 17:03:43,Retraso moderado: problemas recurrentes pero no críticos,4.7109143518518515
conservatoria,RJ,1,14.29,20 days 14:09:40,Retrasos severos: rutas largas o problemas logísticos regionales,20.590046296296297
sao pedro do iguacu,PR,1,14.29,10 days 12:14:41,Retrasos severos: rutas largas o problemas logísticos regionales,10.510196759259259
sao miguel do iguacu,PR,1,14.29,1 days 12:31:42,Retraso leve: problemas típicos de última hora o reparto urbano,1.522013888888889
sao miguel do gostoso,RN,1,14.29,12 days 18:54:34,Retrasos severos: rutas largas o problemas logísticos regionales,12.78789351851852
sao mateus do maranhao,MA,1,14.29,4 days 21:54:47,Retraso moderado: problemas recurrentes pero no críticos,4.913043981481482
sao mateus de minas,MG,1,14.29,1 days 18:45:51,Retraso leve: problemas típicos de última hora o reparto urbano,1.7818402777777778
sao luis do quitunde,AL,1,14.29,15 days 12:11:33,Retrasos severos: rutas largas o problemas logísticos regionales,15.508020833333333
sao jose do vale do rio preto,RJ,1,14.29,15 days 20:07:03,Retrasos severos: rutas largas o problemas logísticos regionales,15.838229166666666
sao jose do turvo,RJ,1,14.29,1 days 12:51:33,Retraso leve: problemas típicos de última hora o reparto urbano,1.535798611111111
sao jose do ouro,RS,1,14.29,9 days 22:58:35,Retraso moderado: problemas recurrentes pero no críticos,9.957349537037038
avelar,RJ,1,14.29,8 days 20:14:46,Retraso moderado: problemas recurrentes pero no críticos,8.843587962962962
aroeiras,PB,1,14.29,7 days 18:55:46,Retraso moderado: problemas recurrentes pero no críticos,7.788726851851852
arneiroz,CE,1,14.29,4 days 15:32:34,Retraso moderado: problemas recurrentes pero no críticos,4.647615740740741
ariquemes,RO,1,14.29,8 days 09:44:13,Retraso moderado: problemas recurrentes pero no críticos,8.405706018518519
arembepe,BA,1,14.29,12 days 14:18:03,Retrasos severos: rutas largas o problemas logísticos regionales,12.595868055555556
areia,PB,1,14.29,10 days 13:20:50,Retrasos severos: rutas largas o problemas logísticos regionales,10.55613425925926
arcoverde,PE,1,14.29,5 days 10:16:38,Retraso moderado: problemas recurrentes pero no críticos,5.428217592592593
arcos,MG,1,14.29,22 days 11:14:31,Retrasos severos: rutas largas o problemas logísticos regionales,22.46841435185185
ararangua,SC,1,14.29,0 days 12:18:49,Retraso leve: problemas típicos de última hora o reparto urbano,0.5130671296296296
sao sebastiao do cai,RS,1,14.29,7 days 19:53:05,Retraso moderado: problemas recurrentes pero no críticos,7.828530092592593
sao sebastiao de campos,RJ,1,14.29,6 days 22:14:54,Retraso moderado: problemas recurrentes pero no críticos,6.927013888888889
sao sebastiao da grama,SP,1,14.29,6 days 17:10:50,Retraso moderado: problemas recurrentes pero no críticos,6.715856481481482
sao roque do canaa,ES,1,14.29,20 days 23:56:29,Retrasos severos: rutas largas o problemas logísticos regionales,20.997557870370372
coxilha,RS,1,14.29,11 days 14:10:25,Retrasos severos: rutas largas o problemas logísticos regionales,11.59056712962963
couto de magalhaes,TO,1,14.29,2 days 00:03:18,Retraso leve: problemas típicos de última hora o reparto urbano,2.002291666666667
cosmopolis,SP,1,14.29,3 days 13:22:04,Retraso moderado: problemas recurrentes pero no críticos,3.5569907407407406
correia pinto,SC,1,14.29,5 days 18:47:31,Retraso moderado: problemas recurrentes pero no críticos,5.782997685185185
sarapui,SP,1,14.29,28 days 20:11:35,Retrasos severos: rutas largas o problemas logísticos regionales,28.841377314814814
fraiburgo,SC,1,14.29,8 days 23:18:38,Retraso moderado: problemas recurrentes pero no críticos,8.971273148148148
fragosos,SC,1,14.29,1 days 08:58:23,Retraso leve: problemas típicos de última hora o reparto urbano,1.373877314814815
formoso do araguaia,TO,1,14.29,7 days 23:48:54,Retraso moderado: problemas recurrentes pero no críticos,7.992291666666667
formosa do rio preto,BA,1,14.29,14 days 15:04:15,Retrasos severos: rutas largas o problemas logísticos regionales,14.627951388888889
formosa da serra negra,MA,1,14.29,6 days 22:20:51,Retraso moderado: problemas recurrentes pero no críticos,6.931145833333333
chaveslandia,MG,1,14.29,18 days 20:02:08,Retrasos severos: rutas largas o problemas logísticos regionales,18.834814814814816
chapada gaucha,MG,1,14.29,8 days 06:44:22,Retraso moderado: problemas recurrentes pero no críticos,8.280810185185185
chapada dos guimaraes,MT,1,14.29,5 days 15:04:35,Retraso moderado: problemas recurrentes pero no críticos,5.62818287037037
chapada do norte,MG,1,14.29,29 days 22:32:38,Retrasos severos: rutas largas o problemas logísticos regionales,29.939328703703705
chapada,RS,1,14.29,13 days 16:56:34,Retrasos severos: rutas largas o problemas logísticos regionales,13.705949074074073
ceu azul,PR,1,14.29,16 days 21:04:37,Retrasos severos: rutas largas o problemas logísticos regionales,16.87820601851852
cerro largo,RS,1,14.29,1 days 23:25:35,Retraso leve: problemas típicos de última hora o reparto urbano,1.9760995370370371
central,BA,1,14.29,12 days 09:50:12,Retrasos severos: rutas largas o problemas logísticos regionales,12.40986111111111
sao vicente,RN,1,14.29,26 days 23:41:52,Retrasos severos: rutas largas o problemas logísticos regionales,26.987407407407407
sao vicente,RN,1,14.29,9 days 12:39:39.421052631,Retraso moderado: problemas recurrentes pero no críticos,9.527539595516563
sao tiago,MG,1,14.29,4 days 01:12:04,Retraso moderado: problemas recurrentes pero no críticos,4.050046296296296
severinia,SP,1,14.29,3 days 19:13:24,Retraso moderado: problemas recurrentes pero no críticos,3.800972222222222
severiano melo,RN,1,14.29,4 days 14:19:53,Retraso moderado: problemas recurrentes pero no críticos,4.597141203703703
sertaozinho,SP,1,14.29,4 days 17:31:37,Retraso moderado: problemas recurrentes pero no críticos,4.730289351851852
sertania,PE,1,14.29,2 days 23:08:53,Retraso leve: problemas típicos de última hora o reparto urbano,2.9645023148148146
serrita,PE,1,14.29,7 days 11:54:14,Retraso moderado: problemas recurrentes pero no críticos,7.495995370370371
serrinha,BA,1,14.29,1 days 19:09:15,Retraso leve: problemas típicos de última hora o reparto urbano,1.7980902777777779
serrania,MG,1,14.29,3 days 16:59:43,Retraso moderado: problemas recurrentes pero no críticos,3.708136574074074
serrana,SP,1,14.29,4 days 18:48:07,Retraso moderado: problemas recurrentes pero no críticos,4.783414351851852
serra dos dourados,PR,1,14.29,52 days 16:03:24,Retrasos severos: rutas largas o problemas logísticos regionales,52.66902777777778
serra do ramalho,BA,1,14.29,2 days 14:08:39,Retraso leve: problemas típicos de última hora o reparto urbano,2.5893402777777776
serra azul,SP,1,14.29,4 days 21:32:44,Retraso moderado: problemas recurrentes pero no críticos,4.897731481481482
senhora de oliveira,MG,1,14.29,6 days 12:27:22,Retraso moderado: problemas recurrentes pero no críticos,6.51900462962963
senador pompeu,CE,1,14.29,5 days 19:14:40,Retraso moderado: problemas recurrentes pero no críticos,5.801851851851852
sede alvorada,PR,1,14.29,7 days 14:13:53,Retraso moderado: problemas recurrentes pero no críticos,7.592974537037037
saude,BA,1,14.29,7 days 21:18:39,Retraso moderado: problemas recurrentes pero no críticos,7.887951388888889
sarzedo,MG,1,14.29,4 days 19:19:15,Retraso moderado: problemas recurrentes pero no críticos,4.8050347222222225
tambau,SP,1,14.29,13 days 23:42:46,Retrasos severos: rutas largas o problemas logísticos regionales,13.988032407407408
taio,SC,1,14.29,7 days 19:28:26,Retraso moderado: problemas recurrentes pero no críticos,7.811412037037037
tailandia,PA,1,14.29,6 days 17:27:55,Retraso moderado: problemas recurrentes pero no críticos,6.727719907407407
tacaratu,PE,1,14.29,28 days 15:51:55,Retrasos severos: rutas largas o problemas logísticos regionales,28.661053240740742
tabuleiro do norte,CE,1,14.29,6 days 22:37:27,Retraso moderado: problemas recurrentes pero no críticos,6.942673611111111
tabira,PE,1,14.29,21 days 17:46:27,Retrasos severos: rutas largas o problemas logísticos regionales,21.740590277777777
tabatinga,SP,1,14.29,0 days 23:42:46,Retraso leve: problemas típicos de última hora o reparto urbano,0.9880324074074074
sooretama,ES,1,14.29,4 days 16:21:32,Retraso moderado: problemas recurrentes pero no críticos,4.6816203703703705
sitio novo do tocantins,TO,1,14.29,7 days 00:22:24,Retraso moderado: problemas recurrentes pero no críticos,7.015555555555555
aramina,SP,1,14.29,4 days 15:24:51,Retraso moderado: problemas recurrentes pero no críticos,4.642256944444444
aracuai,MG,1,14.29,8 days 14:30:04,Retraso moderado: problemas recurrentes pero no críticos,8.604212962962963
aracoiaba,PE,1,14.29,0 days 21:22:39,Retraso leve: problemas típicos de última hora o reparto urbano,0.8907291666666667
apora,BA,1,14.29,12 days 15:28:21,Retrasos severos: rutas largas o problemas logísticos regionales,12.6446875
simoes filho,BA,1,14.29,0 days 16:10:44,Retraso leve: problemas típicos de última hora o reparto urbano,0.6741203703703704
silvania,GO,1,14.29,4 days 22:45:51,Retraso moderado: problemas recurrentes pero no críticos,4.9485069444444445
sidrolandia,MS,1,14.29,1 days 19:48:39,Retraso leve: problemas típicos de última hora o reparto urbano,1.8254513888888888
cedral,SP,1,14.29,6 days 15:42:13,Retraso moderado: problemas recurrentes pero no críticos,6.6543171296296295
formiga,MG,1,14.29,2 days 19:21:12,Retraso leve: problemas típicos de última hora o reparto urbano,2.806388888888889
fernandopolis,SP,1,14.29,7 days 19:22:57,Retraso moderado: problemas recurrentes pero no críticos,7.807604166666667
feliz,RS,1,14.29,1 days 18:46:38,Retraso leve: problemas típicos de última hora o reparto urbano,1.7823842592592594
felicio dos santos,MG,1,14.29,27 days 17:17:31,Retrasos severos: rutas largas o problemas logísticos regionales,27.720497685185187
faxinal,PR,1,14.29,1 days 20:08:07,Retraso leve: problemas típicos de última hora o reparto urbano,1.8389699074074075
extremoz,RN,1,14.29,4 days 20:59:18,Retraso moderado: problemas recurrentes pero no críticos,4.874513888888889
extrema,MG,1,14.29,1 days 17:38:52,Retraso leve: problemas típicos de última hora o reparto urbano,1.735324074074074
estancia,SE,1,14.29,6 days 13:22:16,Retraso moderado: problemas recurrentes pero no críticos,6.55712962962963
teofilandia,BA,1,14.29,15 days 21:27:24,Retrasos severos: rutas largas o problemas logísticos regionales,15.894027777777778
teixeiras,MG,1,14.29,15 days 19:58:44,Retrasos severos: rutas largas o problemas logísticos regionales,15.832453703703704
tatui,SP,1,14.29,3 days 18:22:45,Retraso moderado: problemas recurrentes pero no críticos,3.7657986111111112
taquaracu de minas,MG,1,14.29,3 days 17:03:06,Retraso moderado: problemas recurrentes pero no críticos,3.710486111111111
tapiratiba,SP,1,14.29,5 days 18:32:18,Retraso moderado: problemas recurrentes pero no críticos,5.772430555555555
tapirai,SP,1,14.29,9 days 18:24:58,Retraso moderado: problemas recurrentes pero no críticos,9.767337962962962
tanque novo,BA,1,14.29,4 days 22:28:29,Retraso moderado: problemas recurrentes pero no críticos,4.936446759259259
aparecida do taboado,MS,1,14.29,5 days 21:21:32,Retraso moderado: problemas recurrentes pero no críticos,5.8899537037037035
antonio pereira,MG,1,14.29,2 days 18:46:56,Retraso leve: problemas típicos de última hora o reparto urbano,2.7825925925925925
antonio martins,RN,1,14.29,0 days 20:39:41,Retraso leve: problemas típicos de última hora o reparto urbano,0.8608912037037038
anicuns,GO,1,14.29,0 days 18:22:50,Retraso leve: problemas típicos de última hora o reparto urbano,0.7658564814814814
angatuba,SP,1,14.29,19 days 17:03:13,Retrasos severos: rutas largas o problemas logísticos regionales,19.71056712962963
andrelandia,MG,1,14.29,5 days 11:47:59,Retraso moderado: problemas recurrentes pero no críticos,5.491655092592593
andradas,MG,1,14.29,4 days 19:21:39,Retraso moderado: problemas recurrentes pero no críticos,4.8067013888888885
anchieta,ES,1,14.29,20 days 14:36:20,Retrasos severos: rutas largas o problemas logísticos regionales,20.608564814814816
tramandai,RS,1,14.29,13 days 18:27:01,Retrasos severos: rutas largas o problemas logísticos regionales,13.768761574074073
torrinha,SP,1,14.29,8 days 17:25:58,Retraso moderado: problemas recurrentes pero no críticos,8.726365740740741
torres,RS,1,14.29,5 days 15:07:57,Retraso moderado: problemas recurrentes pero no críticos,5.630520833333334
tocantinopolis,TO,1,14.29,6 days 15:53:31,Retraso moderado: problemas recurrentes pero no críticos,6.662164351851852
timoteo,MG,1,14.29,18 days 18:41:32,Retrasos severos: rutas largas o problemas logísticos regionales,18.778842592592593
timbauba,PE,1,14.29,6 days 07:49:51,Retraso moderado: problemas recurrentes pero no críticos,6.326284722222222
teotonio vilela,AL,1,14.29,1 days 18:32:29,Retraso leve: problemas típicos de última hora o reparto urbano,1.7725578703703704
cedro de sao joao,SE,1,14.29,7 days 07:42:04,Retraso moderado: problemas recurrentes pero no críticos,7.32087962962963
urbano santos,MA,1,16.67,28 days 15:17:35,Retrasos severos: rutas largas o problemas logísticos regionales,28.637210648148148
una,BA,1,16.67,13 days 12:32:08,Retrasos severos: rutas largas o problemas logísticos regionales,13.522314814814814
umbauba,SE,1,16.67,22 days 18:34:25,Retrasos severos: rutas largas o problemas logísticos regionales,22.773900462962963
ubajara,CE,1,16.67,15 days 17:11:18,Retrasos severos: rutas largas o problemas logísticos regionales,15.716180555555555
ubaira,BA,1,16.67,6 days 16:32:41,Retraso moderado: problemas recurrentes pero no críticos,6.689363425925926
uaua,BA,1,16.67,0 days 15:08:34,Retraso leve: problemas típicos de última hora o reparto urbano,0.6309490740740741
tururu,CE,1,16.67,1 days 22:48:44,Retraso leve: problemas típicos de última hora o reparto urbano,1.9505092592592592
tupancireta,RS,1,16.67,8 days 21:09:22,Retraso moderado: problemas recurrentes pero no críticos,8.88150462962963
tucuma,PA,1,16.67,5 days 18:24:39,Retraso moderado: problemas recurrentes pero no críticos,5.767118055555556
tucano,BA,1,16.67,5 days 01:52:58,Retraso moderado: problemas recurrentes pero no críticos,5.078449074074074
trombudo central,SC,1,16.67,5 days 18:04:15,Retraso moderado: problemas recurrentes pero no críticos,5.752951388888889
trindade,PE,1,16.67,23 days 23:33:31,Retrasos severos: rutas largas o problemas logísticos regionales,23.981608796296296
trindade,PE,1,16.67,3 days 08:29:12,Retraso moderado: problemas recurrentes pero no críticos,3.3536111111111113
treze tilias,SC,1,16.67,13 days 19:38:55,Retrasos severos: rutas largas o problemas logísticos regionales,13.81869212962963
tres pontas,MG,1,16.67,0 days 18:41:06,Retraso leve: problemas típicos de última hora o reparto urbano,0.7785416666666667
tres passos,RS,1,16.67,7 days 20:29:39,Retraso moderado: problemas recurrentes pero no críticos,7.853923611111111
apiai,SP,1,16.67,3 days 11:33:34,Retraso moderado: problemas recurrentes pero no críticos,3.4816435185185184
aimores,MG,1,16.67,2 days 09:54:17,Retraso leve: problemas típicos de última hora o reparto urbano,2.4126967592592594
zacarias,SP,1,16.67,0 days 21:07:27,Retraso leve: problemas típicos de última hora o reparto urbano,0.8801736111111111
vinhedo,SP,1,16.67,4 days 03:03:38,Retraso moderado: problemas recurrentes pero no críticos,4.127523148148148
conchal,SP,1,16.67,8 days 20:21:17,Retraso moderado: problemas recurrentes pero no críticos,8.848113425925925
conceicao do tocantins,TO,1,16.67,0 days 19:34:36,Retraso leve: problemas típicos de última hora o reparto urbano,0.8156944444444445
conceicao do coite,BA,1,16.67,2 days 19:27:38,Retraso leve: problemas típicos de última hora o reparto urbano,2.8108564814814816
conceicao do araguaia,PA,1,16.67,5 days 17:53:02,Retraso moderado: problemas recurrentes pero no críticos,5.745162037037037
votuporanga,SP,1,16.67,2 days 01:36:29,Retraso leve: problemas típicos de última hora o reparto urbano,2.0670023148148147
volta grande,MG,1,16.67,5 days 09:58:12,Retraso moderado: problemas recurrentes pero no críticos,5.415416666666666
vitoria de santo antao,PE,1,16.67,13 days 19:47:55,Retrasos severos: rutas largas o problemas logísticos regionales,13.82494212962963
vista alegre do alto,SP,1,16.67,10 days 17:22:18,Retrasos severos: rutas largas o problemas logísticos regionales,10.723819444444445
virgem da lapa,MG,1,16.67,1 days 08:06:33,Retraso leve: problemas típicos de última hora o reparto urbano,1.3378819444444445
viradouro,SP,1,16.67,0 days 22:08:59,Retraso leve: problemas típicos de última hora o reparto urbano,0.9229050925925926
abaiara,CE,1,16.67,12 days 13:08:37,Retrasos severos: rutas largas o problemas logísticos regionales,12.547650462962963
vila valerio,ES,1,16.67,30 days 08:29:43,Retrasos severos: rutas largas o problemas logísticos regionales,30.353969907407407
vargem grande do rio pardo,MG,1,16.67,4 days 15:22:35,Retraso moderado: problemas recurrentes pero no críticos,4.64068287037037
alto paraiso de goias,GO,1,16.67,4 days 17:52:20,Retraso moderado: problemas recurrentes pero no críticos,4.744675925925926
alto araguaia,MT,1,16.67,7 days 00:15:11,Retraso moderado: problemas recurrentes pero no críticos,7.010543981481481
varre-sai,RJ,1,16.67,29 days 16:47:02,Retrasos severos: rutas largas o problemas logísticos regionales,29.699328703703703
adamantina,SP,1,16.67,0 days 17:33:28,Retraso leve: problemas típicos de última hora o reparto urbano,0.731574074074074
adhemar de barros,PR,1,16.67,73 days 00:16:50,Retrasos severos: rutas largas o problemas logísticos regionales,73.01168981481482
concordia do para,PA,1,16.67,8 days 15:49:44,Retraso moderado: problemas recurrentes pero no críticos,8.659537037037037
conchas,SP,1,16.67,2 days 16:47:01,Retraso leve: problemas típicos de última hora o reparto urbano,2.6993171296296294
vera cruz,SP,1,16.67,28 days 15:30:11.250000,Retrasos severos: rutas largas o problemas logísticos regionales,28.645963541666667
vera cruz,SP,1,16.67,9 days 23:24:47,Retraso moderado: problemas recurrentes pero no críticos,9.975543981481481
venturosa,PE,1,16.67,15 days 15:02:59,Retrasos severos: rutas largas o problemas logísticos regionales,15.627071759259259
venancio aires,RS,1,16.67,7 days 12:41:13,Retraso moderado: problemas recurrentes pero no críticos,7.528622685185185
analandia,SP,1,16.67,1 days 20:48:43,Retraso leve: problemas típicos de última hora o reparto urbano,1.867164351851852
ampere,PR,1,16.67,0 days 16:37:00,Retraso leve: problemas típicos de última hora o reparto urbano,0.6923611111111111
vila pereira,MG,1,16.67,1 days 13:52:27,Retraso leve: problemas típicos de última hora o reparto urbano,1.5780902777777779
vila nova do sul,RS,1,16.67,0 days 09:36:50,Retraso leve: problemas típicos de última hora o reparto urbano,0.4005787037037037
alcobaca,BA,1,16.67,2 days 06:32:10,Retraso leve: problemas típicos de última hora o reparto urbano,2.272337962962963
ajapi,SP,1,16.67,5 days 05:46:00,Retraso moderado: problemas recurrentes pero no críticos,5.240277777777778
