customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
bonito,MS,1,10.0,7 days 12:43:02,Retraso moderado: problemas recurrentes pero no críticos,7.529884259259259
bonfim paulista,SP,1,10.0,28 days 18:52:03,Retrasos severos: rutas largas o problemas logísticos regionales,28.786145833333332
bombinhas,SC,1,10.0,2 days 13:21:48,Retraso leve: problemas típicos de última hora o reparto urbano,2.5568055555555556
bom repouso,MG,1,10.0,7 days 19:37:33,Retraso moderado: problemas recurrentes pero no críticos,7.817743055555556
bom principio,RS,1,10.0,17 days 22:50:57,Retrasos severos: rutas largas o problemas logísticos regionales,17.95204861111111
bom jesus dos perdoes,SP,1,10.0,7 days 16:37:22,Retraso moderado: problemas recurrentes pero no críticos,7.692615740740741
boituva,SP,1,10.0,6 days 16:56:41,Retraso moderado: problemas recurrentes pero no críticos,6.706030092592592
bofete,SP,1,10.0,5 days 20:32:25,Retraso moderado: problemas recurrentes pero no críticos,5.855844907407407
boa vista do gurupi,MA,1,10.0,27 days 12:46:47,Retrasos severos: rutas largas o problemas logísticos regionales,27.532488425925926
porto esperidiao,MT,1,10.0,23 days 10:27:43,Retrasos severos: rutas largas o problemas logísticos regionales,23.435914351851853
portela,RJ,1,10.0,6 days 10:52:56,Retraso moderado: problemas recurrentes pero no críticos,6.453425925925926
porteirinha,MG,1,10.0,7 days 20:18:58,Retraso moderado: problemas recurrentes pero no críticos,7.84650462962963
ponte nova,MG,1,10.0,2 days 21:12:50,Retraso leve: problemas típicos de última hora o reparto urbano,2.883912037037037
pontalinda,SP,1,10.0,0 days 20:08:48,Retraso leve: problemas típicos de última hora o reparto urbano,0.8394444444444444
pompeu,MG,1,10.0,11 days 17:08:51,Retrasos severos: rutas largas o problemas logísticos regionales,11.714479166666667
pombos,PE,1,10.0,0 days 18:33:59,Retraso leve: problemas típicos de última hora o reparto urbano,0.773599537037037
polo petroquimico de triunfo,RS,1,10.0,3 days 15:51:47,Retraso moderado: problemas recurrentes pero no críticos,3.6609606481481483
pocrane,MG,1,10.0,1 days 16:42:30,Retraso leve: problemas típicos de última hora o reparto urbano,1.6961805555555556
poco verde,SE,1,10.0,19 days 18:49:01,Retrasos severos: rutas largas o problemas logísticos regionales,19.784039351851852
poco de pedra,RN,1,10.0,5 days 11:04:04,Retraso moderado: problemas recurrentes pero no críticos,5.461157407407407
planaltina,GO,1,10.0,0 days 01:48:58,Retraso leve: problemas típicos de última hora o reparto urbano,0.07567129629629629
pitangui,MG,1,10.0,0 days 18:32:20,Retraso leve: problemas típicos de última hora o reparto urbano,0.7724537037037037
pitangueiras,SP,1,10.0,0 days 12:48:31,Retraso leve: problemas típicos de última hora o reparto urbano,0.5336921296296296
piripa,BA,1,10.0,2 days 18:11:57,Retraso leve: problemas típicos de última hora o reparto urbano,2.758298611111111
pires do rio,GO,1,10.0,5 days 20:05:00,Retraso moderado: problemas recurrentes pero no críticos,5.836805555555555
benevides,PA,1,10.0,12 days 15:18:58,Retrasos severos: rutas largas o problemas logísticos regionales,12.638171296296296
ibiraja,BA,1,10.0,25 days 14:37:27,Retrasos severos: rutas largas o problemas logísticos regionales,25.60934027777778
ibimirim,PE,1,10.0,5 days 22:04:44,Retraso moderado: problemas recurrentes pero no críticos,5.919953703703704
ibiam,SC,1,11.11,0 days 19:46:57,Retraso leve: problemas típicos de última hora o reparto urbano,0.8242708333333333
ibia,MG,1,11.11,0 days 13:09:16,Retraso leve: problemas típicos de última hora o reparto urbano,0.5481018518518519
ibatiba,ES,1,11.11,29 days 15:32:27,Retrasos severos: rutas largas o problemas logísticos regionales,29.647534722222222
ibate,SP,1,11.11,9 days 00:33:35,Retraso moderado: problemas recurrentes pero no críticos,9.02332175925926
iapu,MG,1,11.11,35 days 04:52:09,Retrasos severos: rutas largas o problemas logísticos regionales,35.20288194444444
humildes,BA,1,11.11,42 days 09:13:50,Retrasos severos: rutas largas o problemas logísticos regionales,42.384606481481484
horizonte,CE,1,11.11,54 days 19:36:57,Retrasos severos: rutas largas o problemas logísticos regionales,54.81732638888889
hidrolina,GO,1,11.11,8 days 17:50:29,Retraso moderado: problemas recurrentes pero no críticos,8.743391203703704
guinda,MG,1,11.11,1 days 01:09:00,Retraso leve: problemas típicos de última hora o reparto urbano,1.0479166666666666
guidoval,MG,1,11.11,1 days 21:19:50,Retraso leve: problemas típicos de última hora o reparto urbano,1.8887731481481482
guaruja do sul,SC,1,11.11,3 days 22:41:49,Retraso moderado: problemas recurrentes pero no críticos,3.9457060185185187
